#{"t_start": 1748019731.112538, "env_id": "None"}
r,l,t
-90.871718,20,66.422385
-94.115172,19,66.447246
-87.435112,20,66.475462
-87.438179,20,66.502643
-90.880855,20,66.527222
-88.981188,20,66.552033
-88.176492,20,66.58287
-87.455165,20,66.606267
-87.522264,20,66.633882
-88.196567,20,66.667812
-87.535357,20,66.692974
-87.753911,20,66.722811
-87.410269,20,66.750019
-87.843724,20,66.774794
-87.711885,20,66.804431
-88.815828,20,66.847153
-94.059291,19,66.877022
-93.916575,19,66.902264
-87.554981,20,66.926605
-89.224423,20,66.957604
-94.089611,19,66.984016
-88.992046,20,67.007169
-87.180857,20,67.031523
-90.565134,20,67.057625
-89.356646,20,67.083432
-88.694627,20,67.115376
-87.222365,20,67.144361
-91.072091,20,67.168401
-90.689949,20,67.197793
-88.128031,20,67.228065
-89.392369,20,67.254556
-90.478533,20,67.284062
-87.254845,20,67.310769
-90.877438,20,67.342796
-87.136539,20,67.375031
-87.632897,20,67.405029
-87.270239,20,67.431946
-91.032467,20,67.468807
-87.645555,20,67.511378
-89.659684,20,67.550076
-92.27792,20,67.584143
-87.453247,20,67.61111
-93.943163,19,67.642875
-87.290496,20,67.676399
-93.006306,20,67.708803
-94.142666,19,67.736368
-94.061627,19,67.759698
-90.260787,20,67.787122
-93.075492,20,67.807707
-91.68226,20,67.836197
-87.215629,20,67.888291
-87.599926,20,67.918951
-87.759675,20,67.946194
-90.32528,20,67.977633
-87.381596,20,68.004537
-87.203981,20,68.032843
-94.750442,19,68.058626
-88.832652,20,68.084997
-88.854779,20,68.114518
-87.255648,20,68.141924
-87.193194,20,68.207376
-89.014773,20,68.248536
-87.18131,20,68.291111
-93.942025,19,68.326135
-88.669045,20,68.374726
-87.221072,20,68.41633
-92.651707,20,68.463567
-94.106367,19,68.500299
-87.346447,20,68.538115
-92.572625,20,68.572548
-93.359458,20,68.607955
-89.670505,20,71.9928
-93.048864,20,72.023199
-93.943403,19,72.057831
-88.243085,20,72.092775
-88.301498,20,72.1183
-88.706789,20,72.14203
-94.034792,19,72.165732
-88.636198,20,72.197917
-89.450304,20,72.230937
-92.404332,20,72.264813
-92.303067,20,72.294415
-89.742979,20,72.321718
-87.212983,20,72.355183
-89.236945,20,72.387012
-89.534192,20,72.414923
-92.094383,20,72.449478
-89.060384,20,72.476294
-94.072857,19,72.502042
-93.195899,20,72.528407
-94.039191,19,72.552752
-90.242724,20,72.581121
-93.273163,20,72.606215
-93.944028,19,72.631258
-88.967866,20,72.659789
-87.216203,20,72.687452
-93.257729,20,72.714966
-87.478863,20,72.743844
-87.738438,20,72.768491
